City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
85,Svetlogorsk,52.6333,29.7333,overcast clouds,28.11,89,100,16.2
86,Hithadhoo,-0.6,73.0833,scattered clouds,80.87,66,48,7.9
87,Mahebourg,-20.4081,57.7,scattered clouds,84.25,94,40,1.14
88,Upernavik,72.7868,-56.1549,overcast clouds,9.12,71,100,3.36
89,Priladozhskiy,59.85,31.4833,light snow,24.46,96,100,7.78
90,Torbay,47.6666,-52.7314,overcast clouds,29.57,87,100,11.5
91,Salalah,17.0151,54.0924,few clouds,71.46,47,19,3.65
92,Amzya,56.2354,54.3868,overcast clouds,11.46,92,100,4.76
93,Maniitsoq,65.4167,-52.9,snow,13.21,87,100,18.57
94,Teahupoo,-17.8333,-149.2667,light rain,76.96,75,18,16.96
95,Waterford,42.7023,-83.4027,scattered clouds,12.79,82,40,5.75
96,Kedrovyy,56.1667,91.8167,broken clouds,-14.39,93,52,3.2
97,Ilulissat,69.2167,-51.1,overcast clouds,21.96,59,100,25.37
98,Atuona,-9.8,-139.0333,clear sky,77.67,78,10,13.82
99,Charters Towers,-20.1,146.2667,overcast clouds,83.52,63,96,15.26
100,Georgetown,5.4112,100.3354,haze,89.53,79,20,3.0
101,Lagoa,39.05,-27.9833,few clouds,57.9,55,18,12.15
102,Itoman,26.1247,127.6694,light intensity shower rain,65.17,96,75,10.36
103,Rundu,-17.9333,19.7667,light rain,66.18,96,100,7.85
104,Kapit,2.0167,112.9333,broken clouds,89.08,59,83,1.7
105,Grindavik,63.8424,-22.4338,broken clouds,27.07,68,75,19.57
106,Mayor Pablo Lagerenza,-19.9309,-60.7718,scattered clouds,73.38,80,26,1.07
107,Port Elizabeth,-33.918,25.5701,few clouds,65.1,94,20,8.05
108,Lebu,-37.6167,-73.65,clear sky,57.7,92,4,4.72
109,Gorin,51.1983,136.6669,overcast clouds,-0.99,86,100,2.64
110,Tilichiki,60.4667,166.1,overcast clouds,25.59,94,100,5.5
111,Zeerust,-25.5369,26.0751,broken clouds,61.61,91,69,4.59
112,Cayenne,4.9333,-52.3333,overcast clouds,74.08,91,100,6.91
113,Mount Gambier,-37.8333,140.7667,overcast clouds,71.51,64,100,17.27
114,Tuatapere,-46.1333,167.6833,overcast clouds,67.82,47,100,1.54
115,Warri,5.5167,5.75,overcast clouds,75.33,90,98,1.07
116,Mopti,14.6667,-4.0,dust,69.84,28,23,4.61
117,Kodiak,57.79,-152.4072,light snow,26.11,74,100,19.57
118,Provideniya,64.3833,-173.3,few clouds,-0.94,97,15,3.31
119,Banda Aceh,5.5577,95.3222,scattered clouds,84.87,70,34,10.45
120,Carnarvon,-24.8667,113.6333,clear sky,89.67,48,1,16.11
121,Olafsvik,64.8945,-23.7142,few clouds,26.46,63,23,16.33
122,Lompoc,34.6391,-120.4579,clear sky,57.92,59,0,1.01
123,Henderson,36.0397,-114.9819,clear sky,53.62,17,0,6.91
124,Hasaki,35.7333,140.8333,overcast clouds,46.8,65,100,6.64
125,Yellowknife,62.456,-114.3525,few clouds,-7.58,84,20,6.91
126,Fortuna,40.5982,-124.1573,clear sky,47.32,84,0,0.0
127,Nanortalik,60.1432,-45.2371,light snow,27.14,78,100,12.71
128,Qaanaaq,77.484,-69.3632,broken clouds,-13.32,62,74,7.87
129,Dzilam Gonzalez,21.2833,-88.9333,overcast clouds,70.0,70,86,14.5
130,Borogontsy,62.6683,131.1683,overcast clouds,-20.7,92,100,3.06
131,Mildura,-34.2,142.15,broken clouds,87.08,48,82,8.05
132,Warrnambool,-38.3833,142.4833,overcast clouds,71.82,70,88,14.63
133,Codrington,-38.2667,141.9667,overcast clouds,66.25,70,100,14.23
134,Myitkyina,25.3833,97.4,clear sky,67.69,51,1,3.33
135,Atbasar,51.8,68.3333,overcast clouds,2.16,85,100,8.75
136,Palmares Do Sul,-30.2578,-50.5097,few clouds,66.92,82,13,8.08
137,Kruisfontein,-34.0033,24.7314,light rain,62.89,84,96,1.59
138,Whitefish,48.4111,-114.3376,overcast clouds,21.11,92,100,0.0
139,Moron,-34.6534,-58.6198,clear sky,71.98,81,0,6.38
140,Yarada,17.65,83.2667,haze,73.72,56,20,8.05
141,Raton,36.9034,-104.4391,clear sky,30.18,54,0,4.32
142,Vacaria,-28.5122,-50.9339,scattered clouds,54.72,96,45,6.55
143,Castro,-24.7911,-50.0119,overcast clouds,59.05,99,100,8.7
144,Khandagayty,50.7333,92.05,overcast clouds,-11.42,98,98,1.97
145,Pottsville,40.6857,-76.1955,light snow,29.12,88,100,9.13
146,Danville,36.586,-79.395,light snow,35.58,90,100,4.61
147,Pacific Grove,36.6177,-121.9166,broken clouds,57.27,47,52,1.99
148,Marquette,46.5333,-87.6335,overcast clouds,4.44,75,88,4.97
149,Oliveira Dos Brejinhos,-12.3169,-42.8961,overcast clouds,67.93,91,99,2.53
150,Roros,62.5747,11.3842,overcast clouds,30.04,74,100,8.05
151,Parry Sound,45.3501,-80.033,scattered clouds,6.71,84,37,4.34
152,Dikson,73.5069,80.5464,overcast clouds,2.07,94,100,18.16
153,Yulara,-25.2406,130.9889,broken clouds,93.04,33,61,21.85
154,Cabra,37.4725,-4.4421,clear sky,47.19,63,4,5.03
155,Namatanai,-3.6667,152.4333,light rain,84.92,71,100,5.88
156,Ancud,-41.8697,-73.8203,clear sky,56.73,84,0,2.71
157,Port Hawkesbury,45.6169,-61.3485,overcast clouds,35.19,92,100,4.0
158,San Andres,12.5847,-81.7006,few clouds,80.62,69,20,8.05
159,Margate,51.3813,1.3862,scattered clouds,51.04,86,50,4.0
160,Hofn,64.2539,-15.2082,broken clouds,29.03,54,54,25.68
161,Nayoro,44.3506,142.4578,light snow,20.7,82,99,12.66
162,Kununurra,-15.7667,128.7333,broken clouds,91.38,62,75,11.5
163,Nishihara,26.1842,127.7558,light rain,64.45,97,100,9.22
164,Henties Bay,-22.116,14.2845,overcast clouds,61.86,83,99,1.68
165,Yankton,42.8711,-97.3973,clear sky,28.65,64,0,6.91
166,Moindou,-21.6924,165.677,overcast clouds,80.55,73,100,10.07
167,Northam,51.0333,-4.2167,overcast clouds,50.41,98,100,19.22
168,Kahului,20.8947,-156.47,few clouds,79.86,76,12,8.08
169,Sept-Iles,50.2001,-66.3821,clear sky,-8.88,64,0,8.05
170,Yarke Pole,45.608,34.3172,few clouds,32.02,90,21,8.93
171,Mar Del Plata,-38.0023,-57.5575,clear sky,65.08,74,0,3.0
172,San Patricio,28.017,-97.5169,clear sky,51.82,49,0,5.99
173,Nouakchott,18.0858,-15.9785,overcast clouds,66.13,56,100,13.13
174,East London,-33.0153,27.9116,clear sky,65.64,79,4,8.34
175,Olinda,-8.0089,-34.8553,light rain,73.13,94,75,4.61
176,Bluff,-46.6,168.3333,overcast clouds,67.8,63,91,8.05
177,Salinopolis,-0.6136,-47.3561,overcast clouds,76.5,90,100,14.58
178,Liverpool,53.4106,-2.9779,overcast clouds,53.76,81,100,5.01
179,Portland,45.5234,-122.6762,clear sky,41.38,68,0,4.0
180,Ust-Omchug,61.15,149.6333,overcast clouds,0.41,94,100,8.37
